name,miles_away,accepting_patients,gp_website,phone_number
Cheriton Fitzpaine Surgery,4.4,yes,http://www.middevonmedicalpractice.co.uk,01363 866322
Uffculme Surgery,11.0,yes,Not available,01884 840743
Coleridge Medical Centre,11.4,yes,http://coleridgemedicalcentre.co.uk,01404 814447
Redlands Primary Care,5.6,yes,https://www.redlandsprimarycare.nhs.uk/,01363 727111
Redlands Primary Care – Thorverton,0.2,yes,https://www.redlandsprimarycare.nhs.uk/,01363 727111
Wyndham House Surgery,2.1,yes,Not available,01392 860034
Underhill Surgery,11.9,yes,http://www.claremontmedicalpractice.co.uk,01395 265797
Christow Surgery,11.9,yes,http://cheritonbishoppractice.co.uk,01647 24272
Mid Devon Medical Practice,10.8,yes,http://www.middevonmedicalpractice.co.uk/index.php,01884 860205
Morchard Bishop Surgery,10.4,yes,http://www.middevonmedicalpractice.co.uk,01363 877208
Cheriton Bishop Surgery,10.9,yes,http://cheritonbishoppractice.co.uk,01647 24272
Woodbury Surgery,10.8,yes,http://www.woodburysurgery.co.uk,01395 232509
Amicus Health - Bampton Surgery,12.7,yes,https://www.amicushealth.nhs.uk,01398 331304
TOPSHAM SURGERY,9.0,yes,http://www.topshamsurgery.gpsurgery.net,01392 874646
Treetops Surgery,13.7,yes,Not available,01395 226540
Westbank Practice - Exminster Surgery,9.0,yes,http://www.westbankpractice.com/,01392 833230
Sampford Peverell Surgery,10.2,yes,Not available,01884 820304
Willand Surgery,9.1,yes,Not available,01884 821878
Bicton College of Agriculture,13.2,no,Not available,Not available
Bow Medical Practice,12.2,yes,http://www.bowmedicalpractice.co.uk/,01363 82333
Westbank Practice,9.0,yes,http://www.westbankpractice.com,01626 890368
Topsham Surgery at Sclns,7.3,no,Not available,Not available
Ide Lane Surgery,7.4,yes,http://www.idelanesurgery.nhs.uk,01392 428900
Coleridge Medical Centre Sandfords Surgery,8.0,yes,http://www.coleridgemedicalcentre.co.uk,01404 814447
Castle Place Practice,7.2,yes,https://castleplacepractice.nhs.uk,01884 252333
Glasshouse Medical Centre,7.8,yes,http://www.topshamsurgery.gpsurgery.net,01392 874646
Blundells School,7.4,no,Not available,Not available
Amicus Health,7.0,yes,http://amicushealth.nhs.uk/,01884 252337
College Surgery Partnership,7.1,yes,http://www.collegesurgery.org.uk,01884 831300
St Thomas Medical Group,6.4,yes,https://www.stthomasmedicalgroup.co.uk,01392 676676
Hill Barton Surgery,6.1,yes,http://www.hillbartonsurgery.co.uk/,01392 444242
Bramblehaies Surgery,7.0,yes,http://www.bramblehaiessurgery.co.uk/,01884 33536
WONFORD GREEN SURGERY,6.5,yes,http://www.wonfordgreensurgery.co.uk,01392 250135
South Lawn Medical Practice,5.9,yes,http://www.slmp.co.uk,01392 281100
Heavitree Practice,5.9,yes,http://www.theheavitreepractice.co.uk,01392 222099
Southernhay House Surgery,5.8,yes,http://www.southernhayhousesurgery.co.uk,01392 211266
Cranbrook Medical Practice,6.4,yes,https://www.cranbrookmedicalpractice.nhs.uk/,01404 819207
St Leonards Practice,5.7,yes,http://www.stleonardssurgery.co.uk,01392 201790
BARNFIELD HILL SURGERY,5.8,yes,http://www.barnfieldhillsurgery.co.uk,01392 432761
Clock Tower Surgery,5.5,yes,http://www.devondoctors.co.uk/,01392 208290
Isca Medical Practice,5.5,yes,http://www.iscamp.co.uk,01392 273805
Foxhayes Practice,5.7,yes,https://www.foxhayespractice.nhs.uk,01392 208789
Exwick Health Centre,5.4,yes,https://www.stthomasmedicalgroup.co.uk,01392 676600
Pinhoe Surgery,5.4,yes,Not available,01392 469666
Student Health Centre,5.0,yes,https://www.stthomasmedicalgroup.co.uk,01392 676606
Whipton Branch Surgery,5.3,yes,http://www.southernhayhousesurgery.co.uk,01392 211266
Whipton Surgery,5.4,yes,https://www.thewhiptonsurgery.co.uk,01392 462770
Mount Pleasant Health Centre,5.1,yes,http://www.mountpleasanthealthcentre.co.uk/,01392 255722
Bradninch Surgery,4.9,yes,Not available,01392 881952
Broadclyst Surgery,4.7,yes,Not available,01392 469666
