name,miles_away,accepting_patients,in_catchment,gp_website,phone_number,gp_address
St James Medical Practice Limited,0.0,yes,yes,http://www.thestjamespractice.co.uk/,020 3233 0870,"St. James Health Centre, 47 St. James's Street, Walthamstow, London, Greater London, E17 7NH"
The Riverside Practice,1.4,yes,no,http://www.theriversidepractice-hackney.nhs.uk,020 8806 1928,"14 Urban Hive, Theydon Road, London, Greater London, E5 9BQ"
Healy Medical Centre,1.6,yes,no,http://www.healymedicalcentre.co.uk/,020 8806 1611,"200 Upper Clapton Road, London, Greater London, E5 9DH"
Hampton Medical Centre,1.7,yes,no,http://www.hamptonmedicalcentre.co.uk,020 8539 3232,"1 Pretoria Road, Leytonstone, London, Greater London, E11 4BB"
The Forest Surgery,1.5,yes,no,Not available,020 8498 4988,"2 Macdonald Road, Walthamstow, London, Greater London, E17 4BA"
Crawley Road Medical Centre,1.4,yes,no,http://www.crawleyroadmedicalcentre.co.uk/,020 8539 1880,"479 High Road, Leyton, London, Greater London, E10 5EL"
Tynemouth Medical Practice,1.6,yes,no,http://www.tynemouthmedicalcentre.nhs.uk/,020 8808 4904,"Tynemouth Road, London, Greater London, N15 4RH"
THE CLAPTON SURGERY,1.4,yes,no,https://www.theclaptonsurgery.co.uk,020 8806 7735,"Theydon Road Health Ctr, 14 Urban Hive, Theydon Rd, London, Greater London, E5 9BQ"
Waltham Forest Comm & Fam Hth Serv Ltd,1.3,yes,no,http://www.wfcafhs.co.uk,020 8430 7710,"6 Linford Road, Walthamstow, London, Greater London, E17 3LA"
Dr Dhital Practice,1.3,yes,no,http://www.wfdhital.co.uk/,020 8430 7750,"6 Linford Road, Walthamstow, London, Greater London, E17 3LA"
Addison Road Medical Practice,1.0,yes,no,http://www.addisonroadmedicalpractice.nhs.uk/,020 8176 9110,"46 Ravenswood Road, Walthamstow, London, Greater London, E17 9LY"
Tottenham Hale Medical Practice,1.3,yes,no,http://www.lawrencehousegroup.co.uk/,020 8885 3567,"10 Lebus Street, London, Greater London, N17 9FD"
The Bailey Practice,1.1,yes,no,https://www.thebaileypractice.co.uk/,020 8520 5138,"107 Shernhall Street, Walthamstow, London, Greater London, E17 9HS"
The Penrhyn Surgery,1.2,yes,no,http://penrhynsurgery.co.uk,020 8527 2563,"2A Penrhyn Avenue, Walthamstow, London, Greater London, E17 5DB"
Sinnott Medical Centre,0.9,yes,no,http://www.ltshealthcare.gpsurgery.net/,020 8709 3140,"8 St Andrew's Road, Walthamwstow, London, E17 6BD"
Grove Road Surgery,2.1,yes,no,http://www.ikwuekegrovesurgery.co.uk/,020 8800 9781,"1 Grove Road, Tottenham, London, Greater London, N15 5HJ"
Claremont Medical Centre,0.9,yes,no,https://www.claremontmedical.co.uk,020 8527 1888,"27 Claremont Road, London, E17 5RJ"
Dr Mohammed Green Man Medical Centre,2.1,yes,no,https://www.greenmanmedicalcentre.co.uk,020 8989 2606,"1 Hanbury Drive, Leytonstone, London, Greater London, E11 1GA"
Spring Hill Practice,2.1,yes,no,http://www.springhillpractice.nhs.uk/,020 8806 6993,"57 Stamford Hill, London, Greater London, N16 5SR"
Branch Surgery,2.2,yes,no,http://www.thewickhealthcentre.co.uk,020 8985 2664,"28 Median Road, London, Greater London, E5 0PL"
Lawrence House Surgery,2.1,yes,no,http://www.lawrencehousegroup.co.uk/lawrence-house-surgery,020 8801 6640,"107 Philip Lane, Tottenham, London, Greater London, N15 4JR"
