name,miles_away,accepting_patients,gp_website,phone_number
BS1 Surgery,0.9,yes,http://www.bridgeviewmedical.nhs.uk/,0117 966 9724
Bridge View Medical,1.2,yes,http://bridgeviewmedical.nhs.uk,0117 966 9724
Bedminster Family Practice,1.3,yes,http://www.bedminsterfamilypractice.co.uk/index.aspx,0117 966 3149
Charlotte Keel Medical Practice,1.5,yes,http://www.charlottekeelmedical.co.uk,0117 902 7145
Montpelier Health Centre,0.8,yes,https://www.montpelierhealthcentre.co.uk/,0117 942 6811
Student Health Service,0.1,yes,http://www.bris.ac.uk/depts/studenthealthservice/,0117 330 2720
Fallodon Way Medical Centre,1.5,yes,http://fwmc.org.uk/,0117 962 4692
Broadmead Medical Centre,0.8,yes,https://www.broadmeadmedicalcentre.nhs.uk,0117 954 9828
Southmead & Henbury Family Practice,3.0,yes,https://www.mendipvale.nhs.uk/,0117 950 7150
Whiteladies Medical Group,0.3,yes,http://www.whiteladiesmedical.nhs.uk,0117 973 1201
Birchwood Medical Practice,2.7,yes,https://www.birchwoodbristol.nhs.uk/,0117 330 4225
Pembroke Road Surgery,0.5,yes,https://www.pembrokeroadsurgery.co.uk,0117 973 3790
Compass Health,0.7,no,http://homelesshealthservice.co.uk/,0117 989 3450
Lawrence Hill Health Centre,1.5,yes,https://www.lawrencehillhealthcentre.co.uk,0117 954 3060
The Family Practice,0.1,yes,https://www.thefamilypracticewesterncollege.nhs.uk/,0117 946 6455
Hartwood Healthcare,3.8,yes,Not available,0117 301 5226
Nightingale Valley Practice,2.7,yes,http://www.nightingalevalleypractice.co.uk,0117 330 4300
The Armada Family Practice,3.7,yes,http://www.armadapractice.co.uk/,01275 832285
Hillview Family Practice,3.8,yes,http://www.hillviewfamilypractice.nhs.uk/,0117 301 5240
UWE Health Centre,3.7,yes,https://www.oldschoolsurgery.org.uk/uwe/,0117 328 6666
Conygre Medical Centre,3.7,yes,http://www.stokegiffordmedical.co.uk,0117 979 9430
Fishponds Family Practice,3.7,yes,http://www.thefishpondsfamilypractice.nhs.uk,0117 235 4220
Beechwood Medical Practice,3.7,yes,http://www.beechwoodmedicalpractice.co.uk,0117 908 2360
Shirehampton Group Practice,3.6,yes,https://www.shirehamptongrouppractice.co.uk,0117 916 2226
The Old School Surgery,3.6,yes,https://www.oldschoolsurgery.org.uk,0117 965 3102
Long Ashton Surgery,3.5,yes,http://www.tyntesfield.nhs.uk,01275 392134
Grange Road Surgery,3.4,yes,http://www.grangeroadsurgery.co.uk,0117 964 4343
Pioneer Ridingleaze,3.5,yes,http://www.pioneermedicalgroup.co.uk,0117 959 1919
Fireclay Health,3.4,yes,http://www.fireclayhealth.nhs.uk,0117 961 2161
Willow Tree Surgery,3.4,yes,http://www.southmeadhealth.nhs.uk,0117 950 7150
Shirehampton Group Practice Branch Surgery,3.4,yes,https://www.shirehamptongrouppractice.co.uk,0117 982 2131
Air Balloon Surgery,3.2,yes,https://www.airballoonsurgery.co.uk,0117 909 9912
Pioneer Medical Group,3.4,yes,http://www.pioneermedicalgroup.co.uk,0117 959 1919
Riverside Surgery,2.7,yes,http://www.nightingalevalleypractice.co.uk,0117 330 4300
Monks Park Surgery,2.7,yes,https://www.mendipvale.nhs.uk/practices/monks-park/,0117 969 3106
