name,miles_away,accepting_patients,in_catchment,gp_website,phone_number,gp_address
The Family Practice,0.1,yes,yes,https://www.thefamilypracticewesterncollege.nhs.uk/,0117 946 6455,"Western College, Cotham Road, Bristol, Avon, BS6 6DF"
The Lennard Surgery,2.5,yes,no,http://www.thelennardsurgery.co.uk,0117 964 2211,"1 Lewis Rd, Bedminster Dwn, Bristol, Avon, BS13 7JD"
Student Health Service,0.1,yes,yes,http://www.bris.ac.uk/depts/studenthealthservice/,0117 330 2720,"Hampton House, Cotham Hill, Bristol, BS6 6AU"
The Crest Family Practice,2.4,yes,no,http://www.crestfamilypractice.co.uk,0117 944 9700,"Knowle West Health Park, Downton Road, Knowle, Bristol, Avon, BS4 1WH"
Priory Surgery,2.6,yes,no,https://www.priorysurgerybristol.co.uk/,0117 949 3988,"326 Wells Road, Knowle, Bristol, Avon, BS4 2QJ"
Horfield HC,2.3,yes,no,http://www.horfieldhealthcentre.nhs.uk,0117 969 5391,"Lockleaze Road, Bristol, BS7 9RR"
Sea Mills Surgery,2.4,yes,no,http://www.seamillssurgery.nhs.uk/,0117 968 1182,"2 Riverleaze, Sea Mills, Bristol, Avon, BS9 2HL"
Wells Road Surgery,2.2,yes,no,Not available,0117 977 0018,"233 Wells Road, Knowle, Bristol, Avon, BS4 2DF"
The Merrywood Practice,2.3,yes,no,http://www.merrywoodpractice.nhs.uk/,0117 944 9750,"Knowle West Health Park, Downton Road, Knowle, Bristol, Avon, BS4 1WH"
Westbury on Trym Primary Care Centre,2.2,yes,no,http://www.westburysurgery.co.uk,0117 962 3406,"Westbury on Trym PCC, Westbury Hill, Westbury-on-Trym, Bristol, Avon, BS9 3AA"
Marksbury Road Surgery,2.1,yes,no,http://www.bridgeviewmedical.nhs.uk/,0117 966 9724,"Marksbury Road, Bristol, Avon, BS3 5JL"
East Trees Health Centre,2.0,yes,no,https://www.easttreeshealthcentre.co.uk/,0117 244 4123,"100A Fishponds Road, Eastville, Bristol, BS5 6SA"
Gloucester Road Medical Centre,1.8,yes,no,http://www.grmc.nhs.uk,0117 949 7774,"Tramway House, 1A Church Road, Bristol, Avon, BS7 8SA"
Gaywood House Surgery,1.5,yes,no,http://www.bridgeviewmedical.nhs.uk,0117 966 9724,"North Street, Bedminster, Bristol, Avon, BS3 3AZ"
The Malago Surgery,1.6,yes,no,https://bridgeviewmedical.nhs.uk/surgery-information/contact-information.php,0117 966 9724,"40 St Johns Road, Bedminster, Bristol, BS3 4JE"
Hartwood Healthcare,3.8,yes,no,Not available,0117 301 5226,"Hareclive Road, Bristol, BS13 0JP"
Conygre Medical Centre,3.7,yes,no,http://www.stokegiffordmedical.co.uk,0117 979 9430,"3 Conygre Road, Filton, Bristol, Avon, BS34 7DA"
UWE Health Centre,3.7,yes,no,https://www.oldschoolsurgery.org.uk/uwe/,0117 328 6666,"Level 2, N Block, 2N009, University of The West of England, Coldharbour Lane, Bristol, BS16 1QY"
Fishponds Family Practice,3.7,yes,no,http://www.thefishpondsfamilypractice.nhs.uk,0117 235 4220,"Beechwood Road, Bristol, BS16 3TD"
The Old School Surgery,3.6,yes,no,https://www.oldschoolsurgery.org.uk,0117 965 3102,"Doctors Surgery, Manor Road, Fishponds, Bristol, Avon, BS16 2JD"
Beechwood Medical Practice,3.7,yes,no,http://www.beechwoodmedicalpractice.co.uk,0117 908 2360,"Beechwood Road, Bristol, BS16 3TD"
The Armada Family Practice,3.7,yes,no,http://www.armadapractice.co.uk/,01275 832285,"Whitchurch Health Centre, Armada Road, Bristol, BS14 0SU"
Grange Road Surgery,3.4,yes,no,http://www.grangeroadsurgery.co.uk,0117 964 4343,"Grange Road, Bishopsworth, Bristol, Avon, BS13 8LD"
Hillview Family Practice,3.8,yes,no,http://www.hillviewfamilypractice.nhs.uk/,0117 301 5240,"Hartcliffe Health Centre, Hareclive Road, Hartcliffe, Bristol, Avon, BS13 0JP"
Pioneer Ridingleaze,3.5,yes,no,http://www.pioneermedicalgroup.co.uk,0117 959 1919,"Ridingleaze, Lawrence Weston, Bristol, Avon, BS11 0QE"
Long Ashton Surgery,3.5,yes,no,http://www.tyntesfield.nhs.uk,01275 392134,"55 Rayens Cross Road, Long Ashton, BS41 9DY"
Willow Tree Surgery,3.4,yes,no,http://www.southmeadhealth.nhs.uk,0117 950 7150,"1 Trevelyan Walk, Bristol, Avon, BS10 7NY"
Southmead & Henbury Family Practice,3.0,yes,no,https://www.mendipvale.nhs.uk/,0117 950 7150,"Ullswater Road, Bristol, City of Bristol, BS10 6DF"
The Wellspring Surgery,2.0,yes,no,http://www.wellspringsurgerybristol.nhs.uk,0117 955 7711,"Beam Street, Redfield, Bristol, BS5 9QY"
Nightingale Valley Practice,2.7,yes,no,http://www.nightingalevalleypractice.co.uk,0117 330 4300,"Wick Road, Bristol, BS4 4HU"
Fireclay Health,3.4,yes,no,http://www.fireclayhealth.nhs.uk,0117 961 2161,"Bellevue Road, St George, Bristol, BS5 7PH"
Birchwood Medical Practice,2.7,yes,no,https://www.birchwoodbristol.nhs.uk/,0117 330 4225,"Wick Road, Bristol, BS4 4HU"
Shirehampton Group Practice,3.6,yes,no,https://www.shirehamptongrouppractice.co.uk,0117 916 2226,"Pembroke Road, Shirehampton, Bristol, BS11 9SB"
Air Balloon Surgery,3.2,yes,no,https://www.airballoonsurgery.co.uk,0117 909 9912,"Kenn Road, St. George, Bristol, Avon, BS5 7PD"
Shirehampton Group Practice Branch Surgery,3.4,yes,no,https://www.shirehamptongrouppractice.co.uk,0117 982 2131,"46 Capel Road, Lawrence Weston, Bristol, Avon, BS11 0RE"
Pioneer Medical Group,3.4,yes,no,http://www.pioneermedicalgroup.co.uk,0117 959 1919,"Ardenton Walk, Bristol, BS10 6SP"
Bridge View Medical,1.2,yes,no,http://bridgeviewmedical.nhs.uk,0117 966 9724,"Southville Surgery, 67 Coronation Road, Southville, Bristol, Avon, BS3 1AS"
Riverside Surgery,2.7,yes,no,http://www.nightingalevalleypractice.co.uk,0117 330 4300,"Wyatts View, St Anne's Park, Bristol, Avon, BS4 4WW"
Monks Park Surgery,2.7,yes,no,https://www.mendipvale.nhs.uk/practices/monks-park/,0117 969 3106,"24 Monks Park Avenue, Horfield, Bristol, Avon, BS7 0UE"
Bedminster Family Practice,1.3,yes,no,http://www.bedminsterfamilypractice.co.uk/index.aspx,0117 966 3149,"Regent Road, Bedminster, Bristol, Avon, BS3 4AT"
Lawrence Hill Health Centre,1.5,yes,no,https://www.lawrencehillhealthcentre.co.uk,0117 954 3060,"Hassell Drive, Easton, Bristol, Avon, BS2 0AN"
BS1 Surgery,0.9,yes,no,http://www.bridgeviewmedical.nhs.uk/,0117 966 9724,"Queen Charlotte Street, Bristol, Avon, BS1 4ES"
Fallodon Way Medical Centre,1.5,yes,no,http://fwmc.org.uk/,0117 962 4692,"13 Fallodon Way, Henleaze, Bristol, Avon, BS9 4HT"
Montpelier Health Centre,0.8,yes,no,https://www.montpelierhealthcentre.co.uk/,0117 942 6811,"Bath Buildings, Montpelier, Bristol, Avon, BS6 5PT"
Greenway Community Practice,2.6,yes,no,http://www.greenwaycommunitypractice.nhs.uk,0117 959 8939,"Greystoke Ave, Southmead, Bristol, Avon, BS10 6AF"
Broadmead Medical Centre,0.8,yes,yes,https://www.broadmeadmedicalcentre.nhs.uk,0117 954 9828,"59 Broadmead, Bristol, Avon, BS1 3EA"
Whiteladies Medical Group,0.3,yes,yes,http://www.whiteladiesmedical.nhs.uk,0117 973 1201,"Whiteladies Health Centre, Whatley Road, Clifton, Bristol, Avon, BS8 2PU"
Compass Health,0.7,no,yes,http://homelesshealthservice.co.uk/,0117 989 3450,"1 Jamaica Street, Bristol, City of Bristol, BS2 8JP"
