name,miles_away,accepting_patients,in_catchment,gp_website,phone_number,gp_address,Region,PCN,Total_Patients,Total_GP_FTE
Priory Surgery,2.6,yes,no,https://www.priorysurgerybristol.co.uk/,0117 949 3988,"326 Wells Road, Knowle, Bristol, Avon, BS4 2QJ",South East,CYGNET PCN,12145.0,6.68976
The Crest Family Practice,2.4,yes,no,http://www.crestfamilypractice.co.uk,0117 944 9700,"Knowle West Health Park, Downton Road, Knowle, Bristol, Avon, BS4 1WH",South West,SWIFT PCN,7104.0,2.807339696
The Merrywood Practice,2.3,yes,no,http://www.merrywoodpractice.nhs.uk/,0117 944 9750,"Knowle West Health Park, Downton Road, Knowle, Bristol, Avon, BS4 1WH",South West,SWIFT PCN,7279.0,5.253333333
Horfield HC,2.3,yes,no,http://www.horfieldhealthcentre.nhs.uk,0117 969 5391,"Lockleaze Road, Bristol, BS7 9RR",South West,PHOENIX (BNSSG) PCN,17706.0,15.3
The Lennard Surgery,2.5,yes,no,http://www.thelennardsurgery.co.uk,0117 964 2211,"1 Lewis Rd, Bedminster Dwn, Bristol, Avon, BS13 7JD",South West,SWIFT PCN,8601.0,6.448533333
Sea Mills Surgery,2.4,yes,no,http://www.seamillssurgery.nhs.uk/,0117 968 1182,"2 Riverleaze, Sea Mills, Bristol, Avon, BS9 2HL",South West,CONCORD MENDIP PCN,8443.0,5.2
Student Health Service,0.1,yes,yes,http://www.bris.ac.uk/depts/studenthealthservice/,0117 330 2720,"Hampton House, Cotham Hill, Bristol, BS6 6AU",South West,HEALTHWEST PCN,19919.0,9.9
Westbury on Trym Primary Care Centre,2.2,yes,no,http://www.westburysurgery.co.uk,0117 962 3406,"Westbury on Trym PCC, Westbury Hill, Westbury-on-Trym, Bristol, Avon, BS9 3AA",South West,AFFINITY (BNSSG) PCN,11897.0,6.48
Wells Road Surgery,2.2,yes,no,Not available,0117 977 0018,"233 Wells Road, Knowle, Bristol, Avon, BS4 2DF",South West,CONNEXUS PCN,9206.0,3.2
East Trees Health Centre,2.0,yes,no,https://www.easttreeshealthcentre.co.uk/,0117 244 4123,"100A Fishponds Road, Eastville, Bristol, BS5 6SA",South West,BRISTOL INNER CITY PCN,15596.0,8.413333333
Marksbury Road Surgery,2.1,yes,no,http://www.bridgeviewmedical.nhs.uk/,0117 966 9724,"Marksbury Road, Bristol, Avon, BS3 5JL",Not available,Not available,Not available,Not available
The Wellspring Surgery,2.0,yes,no,http://www.wellspringsurgerybristol.nhs.uk,0117 955 7711,"Beam Street, Redfield, Bristol, BS5 9QY",Midlands,NOTTINGHAM CITY EAST PCN,10671,6.514666667
The Malago Surgery,1.6,yes,no,https://bridgeviewmedical.nhs.uk/surgery-information/contact-information.php,0117 966 9724,"40 St Johns Road, Bedminster, Bristol, BS3 4JE",Not available,Not available,Not available,Not available
Hillview Family Practice,3.8,yes,no,http://www.hillviewfamilypractice.nhs.uk/,0117 301 5240,"Hartcliffe Health Centre, Hareclive Road, Hartcliffe, Bristol, Avon, BS13 0JP",South West,SWIFT PCN,7239,1.906666667
Gloucester Road Medical Centre,1.8,yes,no,http://www.grmc.nhs.uk,0117 949 7774,"Tramway House, 1A Church Road, Bristol, Avon, BS7 8SA",South West,PHOENIX (BNSSG) PCN,21956,11.09333333
Greenway Community Practice,2.6,yes,no,http://www.greenwaycommunitypractice.nhs.uk,0117 959 8939,"Greystoke Ave, Southmead, Bristol, Avon, BS10 6AF",South West,AFFINITY (BNSSG) PCN,10747,4.553066667
Gaywood House Surgery,1.5,yes,no,http://www.bridgeviewmedical.nhs.uk,0117 966 9724,"North Street, Bedminster, Bristol, Avon, BS3 3AZ",Not available,Not available,Not available,Not available
Hartwood Healthcare,3.8,yes,no,Not available,0117 301 5226,"Hareclive Road, Bristol, BS13 0JP",South West,SWIFT PCN,8391,4.853333333
