name,miles_away,accepting_patients,in_catchment,gp_website,phone_number
Bicton College of Agriculture,13.2,no,no,Not available,Not available
Broadclyst Surgery,4.7,yes,no,Not available,01392 469666
Redlands Primary Care – Thorverton,0.2,yes,no,https://www.redlandsprimarycare.nhs.uk/,01363 727111
Amicus Health - Bampton Surgery,12.7,yes,no,https://www.amicushealth.nhs.uk,01398 331304
Redlands Primary Care,5.6,yes,no,https://www.redlandsprimarycare.nhs.uk/,01363 727111
Wyndham House Surgery,2.1,yes,no,Not available,01392 860034
Treetops Surgery,13.7,yes,no,Not available,01395 226540
Cheriton Fitzpaine Surgery,4.4,yes,no,http://www.middevonmedicalpractice.co.uk,01363 866322
Underhill Surgery,11.9,yes,no,http://www.claremontmedicalpractice.co.uk,01395 265797
Uffculme Surgery,11.0,yes,no,Not available,01884 840743
Cheriton Bishop Surgery,10.9,yes,no,http://cheritonbishoppractice.co.uk,01647 24272
Christow Surgery,11.9,yes,no,http://cheritonbishoppractice.co.uk,01647 24272
Bow Medical Practice,12.2,yes,no,http://www.bowmedicalpractice.co.uk/,01363 82333
Coleridge Medical Centre,11.4,yes,no,http://coleridgemedicalcentre.co.uk,01404 814447
Woodbury Surgery,10.8,yes,no,http://www.woodburysurgery.co.uk,01395 232509
Willand Surgery,9.1,yes,no,Not available,01884 821878
Mid Devon Medical Practice,10.8,yes,no,http://www.middevonmedicalpractice.co.uk/index.php,01884 860205
Morchard Bishop Surgery,10.4,yes,no,http://www.middevonmedicalpractice.co.uk,01363 877208
Sampford Peverell Surgery,10.2,yes,no,Not available,01884 820304
Westbank Practice - Exminster Surgery,9.0,yes,no,http://www.westbankpractice.com/,01392 833230
Westbank Practice,9.0,yes,no,http://www.westbankpractice.com,01626 890368
TOPSHAM SURGERY,9.0,yes,no,http://www.topshamsurgery.gpsurgery.net,01392 874646
Glasshouse Medical Centre,7.8,yes,no,http://www.topshamsurgery.gpsurgery.net,01392 874646
Ide Lane Surgery,7.4,yes,no,http://www.idelanesurgery.nhs.uk,01392 428900
College Surgery Partnership,7.1,yes,no,http://www.collegesurgery.org.uk,01884 831300
Topsham Surgery at Sclns,7.3,no,no,Not available,Not available
Blundells School,7.4,no,no,Not available,Not available
Castle Place Practice,7.2,yes,no,https://castleplacepractice.nhs.uk,01884 252333
Coleridge Medical Centre Sandfords Surgery,8.0,yes,no,http://www.coleridgemedicalcentre.co.uk,01404 814447
Amicus Health,7.0,yes,no,http://amicushealth.nhs.uk/,01884 252337
St Thomas Medical Group,6.4,yes,no,https://www.stthomasmedicalgroup.co.uk,01392 676676
